Date,Text
7/22/19 23:22,b'@JasonArchie2 @realDonaldTrump Your stupidity is exhausting. Whoever gets caught up in Epstein\xe2\x80\x99s case deserves it.\xe2\x80\xa6 https://t.co/stwEW1Ue1B'
,
7/22/19 23:22,b'When a conservative outlet calls out @POTUS @realDonaldTrump for his lies... https://t.co/I0LPZjU9MW'
,
7/22/19 23:22,"b'@GOPChairwoman @realDonaldTrump Ummmmm, excuse me, I have read the report and clearly you have not. And that is an\xe2\x80\xa6 https://t.co/a4UGPKQC3z'"
,
7/22/19 23:22,"b""@realDonaldTrump Let's just print more money!\n\n\xf0\x9f\x92\xb0\xf0\x9f\x92\xb2\xf0\x9f\x8f\xa7 https://t.co/4g3rjU8MRJ"""
,
7/22/19 23:22,b'@realDonaldTrump Bill Clinton had a budget surplus not negotiations to raise the debt ceiling. \xf0\x9f\x98\x9c'
,
7/22/19 23:22,b'@realDonaldTrump No new wall has been built. Liar'
,
7/22/19 23:22,b'@realDonaldTrump Fake News Media only only get focus on cover time not looking the real work ea time see News Media\xe2\x80\xa6 https://t.co/CRlcMzQVR8'
,
7/22/19 23:22,b'@DeaconGaspar @realDonaldTrump Why not leave family planning to families?'
,
7/22/19 23:22,b'@realDonaldTrump You. Are. Very. Afraid. #ImpeachDonaldTrumpNOW'
,
7/22/19 23:22,b'@realDonaldTrump Something to think about even though the 4 congresswomen have said and continue to say very vile t\xe2\x80\xa6 https://t.co/qjbfP9j7CK'
,
7/22/19 23:22,b'@realDonaldTrump Build \nThe \nWall'
,
7/22/19 23:22,"b""@realDonaldTrump Walls didn't keep this illegal immigrant from coming here and working. @FLOTUS needs to prove she\xe2\x80\xa6 https://t.co/yOMXthZKNN"""
,
7/22/19 23:22,"b'@NYPatriot006 @realDonaldTrump @SteveHiltonx @NextRevFNC Check your facts. AND where you live. It ain\xe2\x80\x99t NYC, lol!'"
,
7/22/19 23:22,b'@realDonaldTrump @SayWhenLA That\xe2\x80\x99s my Great President!! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
,
7/22/19 23:22,b'@irondreamstx @stcaruso2012 @FilmandPaint @tedlieu @realDonaldTrump @GOP He lies about those congresswomen. https://t.co/XUrkd248Xe'
,
7/22/19 23:22,b'@itsJeffTiedrich @realDonaldTrump Any comment on #JeffreyEpstein Mister Dotard? https://t.co/hx5TB6KIta'
,
7/22/19 23:22,b'@realDonaldTrump Your incompetent and everyone knows your incompetent'
,
7/22/19 23:22,b'@realDonaldTrump Years in office: 2.5\nNumber of miles of new wall: 0'
,
7/22/19 23:22,"b""@realDonaldTrump Ok clown show the people pictures or a video...then it won't be bullshit..."""
,
7/22/19 23:22,b'@realDonaldTrump Oh I think history will give you FULL CREDIT for your bloody wall.....'
,
7/22/19 23:22,"b""@realDonaldTrump BS - one of The Donald's lackeys (not up for election) will not allow it to go forward. We have all seen this movie."""
,
7/22/19 23:22,"b'@realDonaldTrump See Trumpers, we\xe2\x80\x99ve been telling you FOX is BS fake news, now even your leader is telling you.  Wh\xe2\x80\xa6 https://t.co/AjWvV2y0ep'"
,
7/22/19 23:22,"b'@RNCastaldo @realDonaldTrump Rutgers, really. Same IQ as Trump 45.'"
,
7/22/19 23:22,b'@JFZNYC @fishboy147 @suzydymna @realDonaldTrump I don\xe2\x80\x99t get it. ( forgive my stupidity- I voted republican once)'
,
